customerID,tenure,Contract,PaymentMethod,PaymentMethod_[0],TotalCharges,Churn
7590-VHVEG,1,Month-to-month,"Electronic check","Electronic check",29.85,No
5575-GNVDE,34,"One year","Mailed check","Mailed check",1889.5,No
3668-QPYBK,2,Month-to-month,"Mailed check","Mailed check",108.15,Yes
7795-CFOCW,45,"One year","Bank transfer (automatic)","Bank transfer (automatic)",1840.75,No
9237-HQITU,2,Month-to-month,"Electronic check","Electronic check",151.65,Yes
9305-CDSKC,8,Month-to-month,"Electronic check","Electronic check",820.5,Yes
1452-KIOVK,22,Month-to-month,"Credit card (automatic)","Credit card (automatic)",1949.4,No
6713-OKOMC,10,Month-to-month,"Mailed check","Mailed check",301.9,No
7892-POOKP,28,Month-to-month,"Electronic check","Electronic check",3046.05,Yes
6388-TABGU,62,"One year","Bank transfer (automatic)","Bank transfer (automatic)",3487.95,No
9763-GRSKD,13,Month-to-month,"Mailed check","Mailed check",587.45,No
7469-LKBCI,16,"Two year","Credit card (automatic)","Credit card (automatic)",326.8,No
8091-TTVAX,58,"One year","Credit card (automatic)","Credit card (automatic)",5681.1,No
0280-XJGEX,49,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",5036.3,Yes
5129-JLPIS,25,Month-to-month,"Electronic check","Electronic check",2686.05,No
3655-SNQYZ,69,"Two year","Credit card (automatic)","Credit card (automatic)",7895.15,No
8191-XWSZG,52,"One year","Mailed check","Mailed check",1022.95,No
9959-WOFKT,71,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",7382.25,No
4190-MFLUW,10,Month-to-month,"Credit card (automatic)","Credit card (automatic)",528.35,Yes
4183-MYFRB,21,Month-to-month,"Electronic check","Electronic check",1862.9,No
8779-QRDMV,1,Month-to-month,"Electronic check","Electronic check",39.65,Yes
1680-VDCWW,12,"One year","Bank transfer (automatic)","Bank transfer (automatic)",202.25,No
1066-JKSGK,1,Month-to-month,"Mailed check","Mailed check",20.15,Yes
3638-WEABW,58,"Two year","Credit card (automatic)","Credit card (automatic)",3505.1,No
6322-HRPFA,49,Month-to-month,"Credit card (automatic)","Credit card (automatic)",2970.3,No
6865-JZNKO,30,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",1530.6,No
6467-CHFZW,47,Month-to-month,"Electronic check","Electronic check",4749.15,Yes
8665-UTDHZ,1,Month-to-month,"Electronic check","Electronic check",30.2,Yes
5248-YGIJN,72,"Two year","Credit card (automatic)","Credit card (automatic)",6369.45,No
8773-HHUOZ,17,Month-to-month,"Mailed check","Mailed check",1093.1,Yes
3841-NFECX,71,"Two year","Credit card (automatic)","Credit card (automatic)",6766.95,No
4929-XIHVW,2,Month-to-month,"Credit card (automatic)","Credit card (automatic)",181.65,No
6827-IEAUQ,27,"One year","Mailed check","Mailed check",1874.45,No
7310-EGVHZ,1,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",20.2,No
3413-BMNZE,1,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",45.25,No
6234-RAAPL,72,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",7251.7,No
6047-YHPVI,5,Month-to-month,"Electronic check","Electronic check",316.9,Yes
6572-ADKRS,46,Month-to-month,"Credit card (automatic)","Credit card (automatic)",3548.3,No
5380-WJKOV,34,Month-to-month,"Electronic check","Electronic check",3549.25,Yes
8168-UQWWF,11,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",1105.4,Yes
8865-TNMNX,10,"One year","Mailed check","Mailed check",475.7,No
9489-DEDVP,70,"Two year","Credit card (automatic)","Credit card (automatic)",4872.35,No
9867-JCZSP,17,"One year","Mailed check","Mailed check",418.25,No
4671-VJLCL,63,"Two year","Credit card (automatic)","Credit card (automatic)",4861.45,No
4080-IIARD,13,Month-to-month,"Electronic check","Electronic check",981.45,No
3714-NTNFO,49,Month-to-month,"Electronic check","Electronic check",3906.7,No
5948-UJZLF,2,Month-to-month,"Mailed check","Mailed check",97,No
7760-OYPDY,2,Month-to-month,"Electronic check","Electronic check",144.15,Yes
7639-LIAYI,52,"Two year","Credit card (automatic)","Credit card (automatic)",4217.8,No
2954-PIBKO,69,"Two year","Credit card (automatic)","Credit card (automatic)",4254.1,No
8012-SOUDQ,43,Month-to-month,"Electronic check","Electronic check",3838.75,No
9420-LOJKX,15,Month-to-month,"Credit card (automatic)","Credit card (automatic)",1426.4,Yes
6575-SUVOI,25,Month-to-month,"Credit card (automatic)","Credit card (automatic)",1752.65,No
7495-OOKFY,8,Month-to-month,"Credit card (automatic)","Credit card (automatic)",633.3,Yes
4667-QONEA,60,"One year","Credit card (automatic)","Credit card (automatic)",4456.35,No
1658-BYGOY,18,Month-to-month,"Electronic check","Electronic check",1752.55,Yes
8769-KKTPH,63,"One year","Credit card (automatic)","Credit card (automatic)",6311.2,No
5067-XJQFU,66,"One year","Electronic check","Electronic check",7076.35,No
3957-SQXML,34,"Two year","Credit card (automatic)","Credit card (automatic)",894.3,No
5954-BDFSG,72,"Two year","Credit card (automatic)","Credit card (automatic)",7853.7,No
0434-CSFON,47,Month-to-month,"Electronic check","Electronic check",4707.1,No
1215-FIGMP,60,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",5450.7,No
0526-SXDJP,72,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",2962,No
0557-ASKVU,18,"One year","Credit card (automatic)","Credit card (automatic)",957.1,No
5698-BQJOH,9,Month-to-month,"Electronic check","Electronic check",857.25,Yes
5122-CYFXA,3,Month-to-month,"Electronic check","Electronic check",244.1,No
8627-ZYGSZ,47,"One year","Electronic check","Electronic check",3650.35,No
3410-YOQBQ,31,"Two year","Mailed check","Mailed check",2497.2,No
3170-NMYVV,50,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",930.9,No
7410-OIEDU,10,Month-to-month,"Mailed check","Mailed check",887.35,No
2273-QCKXA,1,Month-to-month,"Mailed check","Mailed check",49.05,No
0731-EBJQB,52,"One year","Electronic check","Electronic check",1090.65,No
1891-QRQSA,64,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",7099,No
8028-PNXHQ,62,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",1424.6,No
5630-AHZIL,3,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",177.4,No
2673-CXQEU,56,"One year","Electronic check","Electronic check",6139.5,No
6416-JNVRK,46,"One year","Credit card (automatic)","Credit card (automatic)",2688.85,No
5590-ZSKRV,8,Month-to-month,"Mailed check","Mailed check",482.25,No
0191-ZHSKZ,30,Month-to-month,"Electronic check","Electronic check",2111.3,No
3887-PBQAO,45,"One year","Credit card (automatic)","Credit card (automatic)",1216.6,No
5919-TMRGD,1,Month-to-month,"Electronic check","Electronic check",79.35,Yes
8108-UXRQN,11,Month-to-month,"Electronic check","Electronic check",565.35,No
9191-MYQKX,7,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",496.9,Yes
9919-YLNNG,42,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",4327.5,No
0318-ZOPWS,49,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",973.35,No
4445-ZJNMU,9,Month-to-month,"Credit card (automatic)","Credit card (automatic)",918.75,No
4808-YNLEU,35,"One year","Bank transfer (automatic)","Bank transfer (automatic)",2215.45,No
1862-QRWPE,48,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",1057,No
2796-NNUFI,46,"Two year","Mailed check","Mailed check",927.1,No
3016-KSVCP,29,Month-to-month,"Mailed check","Mailed check",1009.25,No
4767-HZZHQ,30,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",2570.2,No
2424-WVHPL,1,Month-to-month,"Electronic check","Electronic check",74.7,No
7233-PAHHL,66,"Two year","Mailed check","Mailed check",5714.25,No
6067-NGCEU,65,Month-to-month,"Credit card (automatic)","Credit card (automatic)",7107,No
9848-JQJTX,72,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",7459.05,No
8637-XJIVR,12,Month-to-month,"Electronic check","Electronic check",927.35,Yes
9803-FTJCG,71,"One year","Credit card (automatic)","Credit card (automatic)",4748.7,No
0278-YXOOG,5,Month-to-month,"Mailed check","Mailed check",113.85,Yes
3212-KXOCR,52,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",1107.2,No
4598-XLKNJ,25,Month-to-month,"Electronic check","Electronic check",2514.5,Yes
6380-ARCEH,1,Month-to-month,"Mailed check","Mailed check",20.2,No
3679-XASPY,1,Month-to-month,"Electronic check","Electronic check",19.45,No
7123-WQUHX,38,"One year","Bank transfer (automatic)","Bank transfer (automatic)",3605.6,No
5386-THSLQ,66,"One year","Bank transfer (automatic)","Bank transfer (automatic)",3027.25,No
3192-NQECA,68,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",7611.85,Yes
6180-YBIQI,5,Month-to-month,"Mailed check","Mailed check",100.2,No
6728-DKUCO,72,"One year","Electronic check","Electronic check",7303.05,No
9750-BOOHV,32,"One year","Mailed check","Mailed check",927.65,No
8597-CWYHH,43,"One year","Mailed check","Mailed check",3921.3,No
2848-YXSMW,72,"Two year","Credit card (automatic)","Credit card (automatic)",1363.25,No
0486-HECZI,55,Month-to-month,"Electronic check","Electronic check",5238.9,Yes
4549-ZDQYY,52,"One year","Credit card (automatic)","Credit card (automatic)",3042.25,No
5712-AHQNN,43,Month-to-month,"Electronic check","Electronic check",3954.1,No
4846-WHAFZ,37,Month-to-month,"Electronic check","Electronic check",2868.15,Yes
5256-SKJGO,64,"Two year","Electronic check","Electronic check",3423.5,No
3071-VBYPO,3,Month-to-month,"Electronic check","Electronic check",248.4,No
9560-BBZXK,36,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",1126.35,No
5299-RULOA,10,Month-to-month,"Electronic check","Electronic check",1064.65,Yes
8402-OOOHJ,41,"Two year","Mailed check","Mailed check",835.15,No
9445-ZUEQE,27,Month-to-month,"Credit card (automatic)","Credit card (automatic)",2151.6,No
1091-SOZGA,56,"One year","Credit card (automatic)","Credit card (automatic)",5515.45,No
2928-HLDBA,6,Month-to-month,"Mailed check","Mailed check",112.75,No
0404-SWRVG,3,Month-to-month,"Electronic check","Electronic check",229.55,Yes
6497-TILVL,7,Month-to-month,"Mailed check","Mailed check",350.35,No
7219-TLZHO,4,Month-to-month,"Mailed check","Mailed check",62.9,No
4622-YNKIJ,33,"Two year","Electronic check","Electronic check",3027.65,No
4412-YLTKF,27,Month-to-month,"Electronic check","Electronic check",2135.5,Yes
6734-PSBAW,72,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",1723.95,No
3930-ZGWVE,1,Month-to-month,"Mailed check","Mailed check",19.75,No
2639-UGMAZ,71,"One year","Electronic check","Electronic check",3985.35,No
2876-GZYZC,13,Month-to-month,"Electronic check","Electronic check",1215.65,No
6207-WIOLX,25,Month-to-month,"Credit card (automatic)","Credit card (automatic)",1502.65,Yes
8587-XYZSF,67,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",3260.1,No
3091-FYHKI,1,Month-to-month,"Electronic check","Electronic check",35.45,Yes
2372-HWUHI,2,Month-to-month,"Electronic check","Electronic check",81.25,Yes
